WAD file    : jagdoom.wad
numlumps    : 1855
infotableofs: 3238548

lump name       size  filepos    0xsize   0xfpos
 499        .   1244   297812    0x04DC 0x00048B54
 500   PLAYK0    468   298896    0x01D4 0x00048F90
 501        .   1092   299364    0x0444 0x00049164
 502   PLAYL0    524   300340    0x020C 0x00049534
 503        .    680   300864    0x02A8 0x00049740
 504   PLAYM0    524   301488    0x020C 0x000499B0
 505        .    684   302012    0x02AC 0x00049BBC
 506   PLAYN0    528   302652    0x0210 0x00049E3C
 507        .    688   303180    0x02B0 0x0004A04C
 508   PLAYO0    580   303828    0x0244 0x0004A2D4
 509        .   1300   304408    0x0514 0x0004A518
 510   PLAYP0    988   305604    0x03DC 0x0004A9C4
 511        .   1720   306592    0x06B8 0x0004ADA0
 512   PLAYQ0   1104   308020    0x0450 0x0004B334
 513        .   1780   309124    0x06F4 0x0004B784
 514   PLAYR0   1100   310580    0x044C 0x0004BD34
 515        .   1644   311680    0x066C 0x0004C180
 516   PLAYS0    940   313056    0x03AC 0x0004C6E0
 517        .   1384   313996    0x0568 0x0004CA8C
 518   PLAYT0    856   315204    0x0358 0x0004CF44
 519        .   1204   316060    0x04B4 0x0004D29C
 520   PLAYU0    764   317132    0x02FC 0x0004D6CC
 521        .   1104   317896    0x0450 0x0004D9C8
 522   PLAYV0    648   318940    0x0288 0x0004DDDC
 523        .    944   319588    0x03B0 0x0004E064
 524   PLAYW0    628   320496    0x0274 0x0004E3F0
 525        .    936   321124    0x03A8 0x0004E664
 526   SARGA1    508   322024    0x01FC 0x0004E9E8
 527        .   1664   322532    0x0680 0x0004EBE4
 528 SARGA2A8    704   324064    0x02C0 0x0004F1E0
 529        .   1912   324768    0x0778 0x0004F4A0
 530 SARGA3A7    728   326388    0x02D8 0x0004FAF4
 531        .   1900   327116    0x076C 0x0004FDCC
 532 SARGA4A6    676   328740    0x02A4 0x00050424
 533        .   1704   329416    0x06A8 0x000506C8
 534   SARGA5    440   330892    0x01B8 0x00050C8C
 535        .   1348   331332    0x0544 0x00050E44
